id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1520,"„Доставка на строителни конструкции, железарски и строителни материали и свързани с тях изделия, помощни строителни материали за нуждите на ТП ""ДГС Карнобат“.","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО КАРНОБАТ""",02716-2024-0156,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441722
1554,Доставка на четки,МИНИ МАРИЦА - ИЗТОК ЕАД,00265-2024-0054,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/434132
1521,"""Упражняване на независим строителен надзор на обект: ""Реконструкция на съществуваща водоснабдителна система и доизграждане на нова в гр. Драгоман, община Драгоман - II-ри етап""",ОБЩИНА ДРАГОМАН,00904-2024-0035,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/441706
1522,"Осъществяване на строителен надзор при изпълнение на СМР по проект  ""Благоустрояване на улици в гр. Тополовград, в т.ч.: улица ""Миньорска"", улица ""Бенковски"" и улица ""Родопи""",ОБЩИНА ТОПОЛОВГРАД,00721-2024-0019,Открита процедура,2024-12-11,2024-12-11,https://app.eop.bg/today/441686
1523,""" Доставка чрез закупуване на гуми за селскостопански машини, за превозни средства, както и за машини за извършване на изкопно-насипни работи, строителни машини и оборудване за нуждите на ТП "" ДГС Пещера "" за срок от 24 месеца, по обособени позиции """,ЮЖНОЦЕНТРАЛНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02718-2024-0213,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441512
1524,„Доставка на лекарства за нуждите на Държавна психиатрична болница - Карлуково“,ДЪРЖАВНА ПСИХИАТРИЧНА БОЛНИЦА - КАРЛУКОВО,00912-2024-0006,Открита процедура,2024-12-15,2024-12-11,https://app.eop.bg/today/441045
1525,„ДОСТАВКА НА НОВИ ОРИГИНАЛНИ КОНСУМАТИВИ ЗА КОПИРНА И ПЕЧАТАЩА ТЕХНИКА ЗА НУЖДИТЕ НА ТУ-СОФИЯ И ЗВЕНА”,ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,00193-2024-0115,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/441010
1526,"„Доставка на нетни количества електрическа енергия (високо, средно и ниско напрежение) и избор на координатор на стандартна балансираща група за срок от 12 месеца“","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ЛОВНО СТОПАНСТВО-ГРАМАТИКОВО""",02716-2024-0155,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/440662
1527,„Доставка на лабораторно оборудване за нуждите на Пловдивския университет „Паисий Хилендарски“,"ПЛОВДИВСКИ УНИВЕРСИТЕТ ""ПАИСИЙ ХИЛЕНДАРСКИ""",00858-2024-0032,Открита процедура,2024-12-11,2024-12-11,https://app.eop.bg/today/440525
1528,"Предоставяне на услуги по предварително третиране на смесени битови отпадъци, генерирани на територията на Община Девня",ОБЩИНА ДЕВНЯ,00510-2024-0033,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/440506
