id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1,"„Избор на доставчик на нетна активна електрическа енергия и координатор на балансираща група за обекти, предоставени за управление на Агенция за социално подпомагане за нуждите на ДСП на територията на област София-град“",РЕГИОНАЛНА ДИРЕКЦИЯ ЗА СОЦИАЛНО ПОДПОМАГАНЕ - СОФИЯ-ГРАД,00496-2024-0061,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/428558
2,Доставка на специализирана техника - тежкотоварен автомобил за почистване,ОБЩИНА КАРЛОВО,00072-2024-0036,Открита процедура,2025-01-09,2024-12-11,https://app.eop.bg/today/428539
3,Диагностика на железния път с пътеизмерителна лаборатория за срок от три години,"НАЦИОНАЛНА КОМПАНИЯ ""ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА"" ДП",00233-2024-0101,Открита процедура,2025-01-23,2024-12-11,https://app.eop.bg/today/424387
4,"ДОСТАВКА И МОНТАЖ НА МЕБЕЛИ ЗА ИЗГРАЖДАНЕ НА УЧИЛИЩНА STEM СРЕДА“ В ТРЕТО ОУ „ПЕТКО РАЧОВ СЛАВЕЙКОВ“, ГР. ТЪРГОВИЩЕ, по обособени позиции:","ТРЕТО ОСНОВНО УЧИЛИЩЕ ""П.Р.СЛАВЕЙКОВ""",03125-2024-0005,Събиране на оферти с обява,2024-12-23,2024-12-11,https://app.eop.bg/today/448821
5,„Доставка на един брой употребяван автобус за нуждите на Община Перущица“,ОБЩИНА ПЕРУЩИЦА,00448-2024-0018,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448703
6,Доставка на трактор за нуждите на Община Медковец,ОБЩИНА МЕДКОВЕЦ,00946-2024-0008,Събиране на оферти с обява,2024-12-27,2024-12-10,https://app.eop.bg/today/448751
7,"Ремонт на улици в с.Трескавец, Община Антоново",ОБЩИНА АНТОНОВО,00911-2024-0029,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/449057
8,"Поддържане, съхранение и транспортиране на до 12 837 броя акумулаторни батерии за специализирани устройства за електронно машинно гласуване (СУЕМГ) А-4 Модел 517",ЦЕНТРАЛНА ИЗБИРАТЕЛНА КОМИСИЯ,04312-2024-0013,Публично състезание,2024-12-18,2024-12-10,https://app.eop.bg/today/447917
9,"Ремонт на улици в с.Старчище, Община Антоново",ОБЩИНА АНТОНОВО,00911-2024-0028,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/449040
10,"РЕМОНТ НА СТУДЕНТСКО ОБЩЕЖИТИЕ НА ВУТП, бл. 32",ВИСШЕ УЧИЛИЩЕ ПО ТЕЛЕКОМУНИКАЦИИ И ПОЩИ,01401-2024-0005,Публично състезание,2024-12-30,2024-12-10,https://app.eop.bg/today/445007
338,"„Доставка на месо, месни продукти, риба и яйца за Детска градина „Арабела“ – гр. Видин“",ДЕТСКА ГРАДИНА АРАБЕЛА,05691-2024-0004,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448781
355,"„Осъществяване на строителен надзор при въвеждане на мерки за подобряване на енергийната ефективност на два обекта, по обособени позиции“",ОБЩИНА ВИДИН,00051-2024-0071,Открита процедура,2025-01-08,2024-12-10,https://app.eop.bg/today/448146
34,"„Аварийно-ремонтни работи и почистване, включващи: Аварийно възстановяване на разрушен участък от подпорната стена, укрепваща ул. „Веслец“ в с. Борован, Община Борован, Област Враца; Почистване на речното корито на р. Бързина в регулационните граници на с. Борован, Община Борован, Област Враца; Почистване на речното корито на р. Скът в зоната на съществуващо мостово съоръжение в с. Нивянин, Община Борован, Област Враца“",ОБЩИНА БОРОВАН,00690-2024-0012,Открита процедура,2025-01-09,2024-12-11,https://app.eop.bg/today/447271
35,„Доставка на лабораторна техника  по проект ДУЕкоС“,"ПЛОВДИВСКИ УНИВЕРСИТЕТ ""ПАИСИЙ ХИЛЕНДАРСКИ""",00858-2024-0038,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/447234
36,"„Доставка на медицински изделия""",КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР - СТАРА ЗАГОРА ЕООД,00731-2024-0014,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/447189
37,„Абонаментна поддръжка и осигуряване на резервни части и консумативи за климатици и климатични инсталации за ТП на НОИ - Бургас“,ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ НА НАЦИОНАЛЕН ОСИГУРИТЕЛЕН ИНСТИТУТ - БУРГАС,00145-2024-0111,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/447030
38,"„Техническо обслужване на МПС-та, включващо основен, текущ ремонт, профилактика на МПС-та и  доставка на резервни части, по заявка на ТП „ДГС  Средец ”  за срок от 24  месеца","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО СРЕДЕЦ""",02716-2024-0167,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/446101
39,"„Обществен превоз на пътници по автобусни линии от областна и републиканска транспортни схеми, по утвърдени маршрутни разписания от квотата на Община Плевен, по пет обособени позиции""",ОБЩИНА ПЛЕВЕН,00226-2024-0047,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/445971
40,Доставка на резервни елементи за котелно и турбинно оборудване,ТЕЦ МАРИЦА ИЗТОК 2 ЕАД,00246-2024-0151,Договаряне с предварителна покана за участие,2025-01-13,2024-12-11,https://app.eop.bg/today/445702
41,Доставка на земеделска техника по проект: „Изграждане на център за високи постижения в професионалното образование и обучение в Професионална гимназия по земеделие „Стефан Цанов“ – град Кнежа,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЗЕМЕДЕЛИЕ ""СТЕФАН ЦАНОВ""",02740-2024-0009,Открита процедура,2025-01-09,2024-12-11,https://app.eop.bg/today/445285
42,Инженеринг за изграждане на зелена инфраструктура за намаляване вторичното разпрашаване в градска среда на територията на град Велико Търново,ОБЩИНА ВЕЛИКО ТЪРНОВО,00073-2024-0070,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/445219
43,„Реконструкция на ул. „Мармарлийска“ (ОК370 - ОК372 - ОК341 - ОК860в - ОК378 - ОК598) в град Велико Търново“,ОБЩИНА ВЕЛИКО ТЪРНОВО,00073-2024-0069,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/445164
51,"„Основен и текущ ремонт и профилактика на МПС, включително доставка на резервни части, аксесоари, автоконсумативи и смазочни масла за обслужване на мпс – предоставени за ползване на ТП „ДГС Стара река“ за срок от 24 месеца“","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО СТАРА РЕКА""",02716-2024-0170,Открита процедура,2025-01-15,2024-12-11,https://app.eop.bg/today/448935
52,"Доставка на нов товарен автомобил, за нуждите на ДСТ „Алеко Константинов“","ДЪРЖАВЕН САТИРИЧЕН ТЕАТЪР ""АЛЕКО КОНСТАНТИНОВ""",00829-2024-0006,Открита процедура,2025-01-21,2024-12-11,https://app.eop.bg/today/448753
53,"Доставка на нов автомобил ван 19+1 места, за нуждите на ДСТ „Алеко Константинов“","ДЪРЖАВЕН САТИРИЧЕН ТЕАТЪР ""АЛЕКО КОНСТАНТИНОВ""",00829-2024-0005,Открита процедура,2025-01-20,2024-12-11,https://app.eop.bg/today/448749
54,"„Доставка, монтаж и баланс на гуми и джанти по обособени позиции, както следва: ОБОСОБЕНА ПОЗИЦИЯ 1: „Доставка, монтаж и баланс на гуми и джанти за леки и лекотоварни автомобили за срок от 24 месеца“ ОБОСОБЕНА ПОЗИЦИЯ 2: „Доставка, монтаж и баланс на гуми и джанти за селскостопански машини (трактори и други -земеделска и горска техника) за срок от 24 месеца“","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО - КАЗАНЛЪК""",02716-2024-0169,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/448665
55,"„Следгаранционно сервизно и техническо обслужване, профилактика, диагностика и ремонт на превозни средства (в т.ч. селскостопански машини; машини за извършване на изкопно-насипни работи, строителни машини и оборудване), включително доставка на резервни части и консумативи за  превозните средства, собственост  на „ЮЦДП “- гр. Смолян за срок от 24 месеца.",ЮЖНОЦЕНТРАЛНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02718-2024-0234,Открита процедура,2025-01-15,2024-12-11,https://app.eop.bg/today/448660
56,"„Инженеринг (проектиране, авторски надзор и строителство) за обект: ""Реконструкция и модернизация на ПСОВ гр. Търговище и ПСОВ гр. Попово"", съгласно договорните условия на ФИДИК – жълта книга“ в две обособени позиции: Обособена позиция № 1: „Реконструкция, разширение и модернизация на ПСОВ-Търговище“, община Търговище Обособена позиция № 2: „Частична реконструкция и модернизация на ПСОВ - Попово“, община Попово“",ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ООД,00856-2024-0009,Открита процедура,2024-12-27,2024-12-11,https://app.eop.bg/today/448657
57,„Реконструкция на довеждащи водопроводи и съоръжения от ВС „Тича“ съгласно договорните условия на ФИДИК – Жълта книга“,ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ООД,00856-2024-0008,Открита процедура,2024-12-27,2024-12-11,https://app.eop.bg/today/448607
58,"«Изпълнение на услуги по техническо обслужване  – основен,  текущ ремонт и профилактика на автомобилите собственост на ТП „ДГС Казанлък“, включително доставка на резервни части, аксесоари, автоконсумативи и смазочни масла по заявка на Възложителя за срок от 24 месеца” .","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО - КАЗАНЛЪК""",02716-2024-0168,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/448602
59,"„Доставка чрез закупуване на резервни части, консумативи и гуми за селскостопански машини, за превозни средства, както и за машини за извършване на изкопно-насипни работи, строителни машини и оборудване за срок от 24 месеца, за нуждите на ТП „ДГС Славейно“ по обособени позиции""",ЮЖНОЦЕНТРАЛНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02718-2024-0233,Открита процедура,2025-01-10,2024-12-11,https://app.eop.bg/today/448467
60,"Извършване на строително-монтажни работи за нуждите на Технически колеж – София - смяна на дограма, изпълнение на топлоизолация по фасади и направа на ограда на сграда в Ботевград",ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,00193-2024-0127,Открита процедура,2025-01-16,2024-12-11,https://app.eop.bg/today/448282
307,„Приготвяне и доставка на готова храна /кетъринг/ за потребителите на социални услуги в гр. Гоце Делчев“,ОБЩИНА ГОЦЕ ДЕЛЧЕВ,00098-2024-0042,Пряко договаряне,2024-12-20,2024-12-10,https://app.eop.bg/today/448303
308,Доставка на автомобилно гориво чрез карти за безналично плащане за нуждите на Център за спешна медицинска помощ - Търговище,ЦЕНТЪР ЗА СПЕШНА МЕДИЦИНСКА ПОМОЩ - ТЪРГОВИЩЕ,00101-2024-0001,Договаряне без предварително обявление,2024-12-17,2024-12-10,https://app.eop.bg/today/449050
309,"„Извършване на строително-монтажни работи за благоустрояване на дворното пространство на природоматематическа гимназия „Гео Милев“,  УПИ Iучилище -вуз, кв. 41, гр. Стара Загора“",ОБЩИНА - СТАРА ЗАГОРА,00774-2024-0080,Пряко договаряне,2024-12-16,2024-12-10,https://app.eop.bg/today/448990
310,"„Устойчиво енергийно обновяване на административната сграда на ""Тролейбусни и автобусни превози"" ЕООД, град Стара Загора, находящ се УПИ Х общински, кв.17 по плана на гр. Стара Загора, представляващ поземлен имот с идентификатор 68850.522.1710 по кадастрална карта на град Стара Загора.»",ОБЩИНА - СТАРА ЗАГОРА,00774-2024-0079,Публично състезание,2025-01-06,2024-12-10,https://app.eop.bg/today/444312
311,"“Услуги по зареждане на касети с тонер за копирна и периферна офис техника, за нуждите на РДСП – Ловеч и териториалните поделения в областта“","РЕГИОНАЛНА ДИРЕКЦИЯ ""СОЦИАЛНО ПОДПОМАГАНЕ"" - ЛОВЕЧ",00496-2024-0060,Събиране на оферти с обява,2024-12-23,2024-12-10,https://app.eop.bg/today/442660
312,„Техническо обслужване и ремонт на МПС на Община Ловеч за срок от 12 месеца“,ОБЩИНА ЛОВЕЧ,00169-2024-0043,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448868
313,"„Доставка, монтаж, въвеждане в експлоатация и техническа поддръжка на нова генерация вътрешни защитни стени по две обособени позиции“, Обособена позиция 1: „Доставка, монтаж, въвеждане в експлоатация и техническа поддръжка на нова генерация вътрешни защитни стени” и Обособена позиция 2: „Доставка, монтаж, въвеждане в експлоатация и техническа поддръжка на решение за сигурност и защита на електронната поща (Spam Filter)”.",БЪЛГАРСКИ ПОЩИ ЕАД,00276-2024-0044,Публично състезание,2024-12-31,2024-12-10,https://app.eop.bg/today/426945
314,"СТРОИТЕЛНО МОНТАЖНИ РАБОТИ ЗА ИЗГРАЖДАНЕ НА STEM СРЕДА ЗА НУЖДИТЕ НА ПГВТ „А. С. ПОПОВ“, ГР. СОФИЯ","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""АЛЕКСАНДЪР СТЕПАНОВИЧ ПОПОВ"" - ГР.СОФИЯ",04053-2024-0006,Събиране на оферти с обява,2025-01-07,2024-12-10,https://app.eop.bg/today/448995
315,"Доставка на реактиви, химикали и медицински консумативи за изпълнение на проекти на редовни докторанти в Медицински факултет",МЕДИЦИНСКИ УНИВЕРСИТЕТ,00398-2024-0094,Ограничена процедура по ДСП,2024-12-20,2024-12-10,https://app.eop.bg/today/448827
316,"Подмяна на водопровод, канализация и възстановяване на пътна настилка по улици в гр. Копривщица",ОБЩИНА КОПРИВЩИЦА,01037-2024-0009,Публично състезание,2025-01-06,2024-12-10,https://app.eop.bg/today/427529
317,"„Доставки на хранителни продукти за нуждите на ДГ ""Лилия”, град Пловдив по три обособени позиции“.","ДЕТСКА ГРАДИНА ""ЛИЛИЯ""",03525-2024-0001,Събиране на оферти с обява,2024-12-23,2024-12-10,https://app.eop.bg/today/448755
318,"""Доставка на дезинфекционни препарати по обособени позиции за нуждите на МБАЛ ""Д-р Атанас Дафовски"" АД гр.Кърджали""",МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-Д-Р АТАНАС ДАФОВСКИ АД,00848-2024-0024,Публично състезание,2025-01-02,2024-12-10,https://app.eop.bg/today/448598
319,"„Доставка на пациентен монитор за нуждите на УМБАЛ „Свети Георги” ЕАД, гр. Пловдив“","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",00325-2024-0049,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448055
320,ТЕКУЩ РЕМОНТ НА СГРАДНИ ИНСТАЛАЦИИ И НА ИНТЕРИОР И ОБЗАВЕЖДАНЕ НА ЗРИТЕЛНА ЗАЛА В МАЛЪК ГРАДСКИ ТЕАТЪР „ЗАД КАНАЛА“,"МАЛЪК ГРАДСКИ ТЕАТЪР ""ЗАД КАНАЛА""",06625-2024-0001,Публично състезание,2025-01-02,2024-12-10,https://app.eop.bg/today/447661
321,"„Осъществяване на строителен надзор на обект: „Рехабилитация на общински път KNL 3087(/KNL1086/-Стоб-Пороминово-/KNL1084/) от км. 2 + 470 до км. 5+100, община Кочериново, област Кюстендил, Етап I км. 2 + 470 до км. 4+100“.",ОБЩИНА  КОЧЕРИНОВО,00777-2024-0024,Публично състезание,2024-12-30,2024-12-10,https://app.eop.bg/today/448951
322,„Доставка на готова храна за нуждите на пациентите на МБАЛ „Д-р Христо Стамболски ЕООД”,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - Д-Р ХРИСТО СТАМБОЛСКИ ЕООД,01011-2024-0017,Пряко договаряне,2025-01-07,2024-12-10,https://app.eop.bg/today/446666
323,"„Доставка и монтаж на обзавеждане за изграждане на STEM среда за нуждите на ПГ по техника и енергетика „Христо Ботев“, гр. Перник","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕХНИКА И ЕНЕРГЕТИКА ""ХРИСТО БОТЕВ"" ГР. ПЕРНИК",03818-2024-0003,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448976
324,"Изработка и доставка на маслоохладители за електродвигатели тип ДВДА-173/49-12-16КУХЛ4 и тип ВДА173/49-12-16К, по техническа документация на АЕЦ „Козлодуй“ ЕАД, за нуждите на цех БПС",АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0304,Публично състезание,2025-01-08,2024-12-10,https://app.eop.bg/today/442510
325,"Изработка, отпечатване и доставка на печатни рекламно-информационни материали за нуждите на ДЪРЖАВЕН САТИРИЧЕН ТЕАТЪР „АЛЕКО КОНСТАНТИНОВ“","ДЪРЖАВЕН САТИРИЧЕН ТЕАТЪР ""АЛЕКО КОНСТАНТИНОВ""",00829-2024-0004,Публично състезание,2025-01-09,2024-12-10,https://app.eop.bg/today/448883
326,"Доставка на хранителни продукти, за нуждите на  ДГ „Ханс Кр. Андерсен” на територията на Община Челопеч","ДЕТСКА ГРАДИНА ""ХАНС КРИСТИЯН АНДЕРСЕН""",05555-2024-0001,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448742
327,Електроснабдяване и електрообзавеждане при разширение когенерация в  ТЕЦ „Градска”,ТОПЛОФИКАЦИЯ-ВРАЦА ЕАД,01086-2024-0018,Публично състезание,2024-12-31,2024-12-10,https://app.eop.bg/today/447846
328,Доставка на механични и електронни (цифрови) манометри,АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0303,Събиране на оферти с обява,2025-01-07,2024-12-10,https://app.eop.bg/today/447253
329,"Демонтаж и подготовка за предаване на ДП РАО на лъчезащитна глава, съдържаща радиоактивен източник от ТГТУ, Терабалт 80, в „КОЦ-Русе“ ЕООД","ДЪРЖАВНО ПРЕДПРИЯТИЕ ""РАДИОАКТИВНИ ОТПАДЪЦИ"" ДП",00699-2024-0035,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/447769
330,"Доставка на хранителни продукти за нуждите на ДГ „Слънце“-Русе, по обособени позиции","ДЕТСКА ГРАДИНА ""СЛЪНЦЕ""",01591-2024-0002,Публично състезание,2025-01-02,2024-12-10,https://app.eop.bg/today/448016
331,"ДОСТАВКИ И УСЛУГИ ПО КОНЦЕПЦИЯ ЗА ИЗГРАЖДАНЕ НА УЧИЛИЩНА СТЕМ СРЕДА” ПРИ ИЗПЪЛНЕНИЕ НА ПРОЦЕДУРА BG-RRP-1.015 „УЧИЛИЩНА STEM СРЕДА“, а именно: Доставка и инсталиране на техническо оборудване за център СТЕМ в сектор „ДИЗАЙН И 3D ПРОТОТИПИРАНЕ“. Специализиран софтуер за лаборатория по 3Д дизайн и прототипиране","СРЕДНО УЧИЛИЩЕ ""НИКОЛА ЙОНКОВ ВАПЦАРОВ""",02410-2024-0008,Покана до определени лица,2024-12-30,2024-12-10,https://app.eop.bg/today/448942
332,„Абонамент за достъп до електронна база данни Access Medicine и Access Pharmacy за нуждите на Медицински университет „Проф. д-р Параскев Стоянов“ – Варна“,"МЕДИЦИНСКИ УНИВЕРСИТЕТ-ВАРНА ""ПРОФ. Д-Р ПАРАСКЕВ ИВ.СТОЯНОВ""",00983-2024-0096,Договаряне без предварително обявление,2024-12-20,2024-12-10,https://app.eop.bg/today/446944
94,"Почистване сервитути ВЛ, обслужвани от управление МЕР Шумен",МРЕЖОВИ ЕКСПЛОАТАЦИОНЕН РАЙОН - ШУМЕН,01379-2024-0186,Открита процедура,2025-01-16,2024-12-11,https://app.eop.bg/today/444519
95,Доставка на микроомметри,МРЕЖОВИ ЕКСПЛОАТАЦИОНЕН РАЙОН-ВАРНА,01379-2024-0185,Открита процедура,2025-01-15,2024-12-11,https://app.eop.bg/today/444316
333,"""Доставка на горива за зареждане на МПС за нуждите на Община Нова Загора и второстепенните разпоредители с бюджетни средства""",ОБЩИНА НОВА ЗАГОРА,00069-2024-0018,Пряко договаряне,2024-12-20,2024-12-10,https://app.eop.bg/today/448522
334,"„ИНЖЕНЕРИНГ – ПРОЕКТИРАНЕ, АВТОРСКИ НАДЗОР И СМР ЗА ОБЕКТ: „ИЗГРАЖДАНЕ НА НОВА СПОРТНА ПЛОЩАДКА В ПГМССЕ „НИКОЛА Й. ВАПЦАРОВ“ ГР. СРЕДЕЦ“.","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО МЕХАНИЗАЦИЯ НА СЕЛСКОТО СТОПАНСТВО И ЕЛЕКТРОНИКА""НИКОЛА Й.ВАПЦАРОВ""",01938-2024-0002,Събиране на оферти с обява,2025-01-07,2024-12-10,https://app.eop.bg/today/448042
335,Отпечатване на издание на Института за исторически изследвания при БАН - „Македония в българската история. Извори: от Балканската до Втората световна война (1912–1940)“,ИНСТИТУТ ЗА ИСТОРИЧЕСКИ ИЗСЛЕДВАНИЯ,01516-2024-0002,Събиране на оферти с обява,2024-12-23,2024-12-10,https://app.eop.bg/today/448368
336,"Абонаментна сервизна поддръжка и ремонт на асансьорни уредби за срок от 24 месеца, монтирани и разположени на територията на УМБАЛ „Проф. д-р Стоян Киркович"" АД","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ПРОФ., Д-Р СТОЯН КИРКОВИЧ АД",00536-2024-0049,Публично състезание,2025-01-13,2024-12-10,https://app.eop.bg/today/448419
337,РЕКОНСТРУКЦИЯ НА УЛИЦИ В ОБЩИНА СТАМБЛОВО – С. ЖЪЛТИ БРЯГ И С. ЦАРЕВА ПОЛЯНА,ОБЩИНА СТАМБОЛОВО,00782-2024-0032,Публично състезание,2024-12-30,2024-12-10,https://app.eop.bg/today/446549
339,"„Изпълнение на СМР за изграждане на STEM среда в Професионална гимназия по текстил и кожени изделия, гр. София“",ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,06016-2024-0003,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448894
340,„Строителни и ремонтни работи на централна и вътрешна канализационна система на  „УМБАЛ – Бургас” АД във връзка с отстраняване на възникнали аварии“.,УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - БУРГАС АД,00301-2024-0035,Събиране на оферти с обява,2025-01-02,2024-12-10,https://app.eop.bg/today/448613
341,"Доставка на установка за измерване промените в екстрацелуларния матрикс посредством трансепително/едноделно електрическо съпротивление за нуждите на научна програма 3.1.4 Biomimetamechanics за изпълнение на проект BG-RRP-2.004-0004-C01 „Стратегическа научноизследователска и иновационна програма за развитие на Медицински университет – София“, финансиран от НПВУ",МЕДИЦИНСКИ УНИВЕРСИТЕТ,00398-2024-0093,Договаряне без предварително обявление,2025-01-13,2024-12-10,https://app.eop.bg/today/441250
342,"„ИНЖЕНЕРИНГ – ПРОЕКТИРАНЕ, АВТОРСКИ НАДЗОР И СМР ЗА ОБЕКТ: „ОСЪЩЕСТВЯВАНЕ НА ОСНОВЕН РЕМОНТ НА СПОРТНИ ПЛОЩАДКИ В  СУ „НИКОЛА Й. ВАПЦАРОВ“ ГР.АЙТОС“","СРЕДНО УЧИЛИЩЕ ""НИКОЛА ЙОНКОВ ВАПЦАРОВ""",02410-2024-0007,Събиране на оферти с обява,2025-01-08,2024-12-10,https://app.eop.bg/today/448885
343,"Доставка, монтаж, пускане в експлоатация и гаранционен сервиз на дизелови автоматични генератори за аварийно захранване, за нуждите на МБАЛ-София-ВМА",Военномедицинска академия,00085-2024-0062,Публично състезание,2025-01-10,2024-12-10,https://app.eop.bg/today/439914
344,"Доставка на газ пропан-бутан за отопление за нуждите на ""Многопрофилна болница за активно лечение - Троян"" ЕООД за отоплителния сезон 2025 г.",МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ТРОЯН ЕООД,00086-2024-0006,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448847
345,"ВНЕДРЯВАНЕ НА МЕРКИ ЗА ЕНЕРГИЙНА ЕФЕКТИВНОСТ НА МНОГОФАМИЛНА ЖИЛИЩНА СГРАДА С АДРЕС: ГР.АСЕНОВГРАД, УЛ. ""3-ТИ МАРТ"" № 2",ОБЩИНА АСЕНОВГРАД,00022-2024-0081,Публично състезание,2025-01-03,2024-12-10,https://app.eop.bg/today/447371
346,„РЕКОНСТРУКЦИЯ И МОДЕРНИЗАЦИЯ НА СИСТЕМА ЗА ВЪНШНО ИЗКУСТВЕНО ОСВЕТЛЕНИЕ НА ЕДИНАДЕСЕТ   НАСЕЛЕНИ МЕСТА  НА ТЕРИТОРИЯТА НА ОБЩИНА МАЛКО ТЪРНОВО“,ОБЩИНА МАЛКО ТЪРНОВО,00031-2024-0027,Публично състезание,2025-01-02,2024-12-10,https://app.eop.bg/today/447788
347,"Проектиране, авторски надзор и изпълнение на строително-монтажни работи във връзка с основен ремонт на ОУ,,Любен Каравелов"" - гр. Попово","ОСНОВНО УЧИЛИЩЕ ""ЛЮБЕН КАРАВЕЛОВ""",04616-2024-0002,Публично състезание,2024-12-30,2024-12-10,https://app.eop.bg/today/447959
348,"„Извършване на услуга по заявка за зареждане на касети с тонер за копирна и периферна офис техника, за нуждите на РДСП – Ямбол и териториалните поделения в областта“",РЕГИОНАЛНА ДИРЕКЦИЯ ЗА СОЦИАЛНО ПОДПОМАГАНЕ - ЯМБОЛ,00496-2024-0059,Събиране на оферти с обява,2025-01-07,2024-12-10,https://app.eop.bg/today/445325
349,„Основен ремонт на съществуващи спортни площадки в ОУ „Любен Каравелов“ с. Узунджово“,"ОСНОВНО УЧИЛИЩЕ ""ЛЮБЕН КАРАВЕЛОВ""",01860-2024-0003,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/446705
350,"""Избор на доставчик на активна нетна електрическа енергия и координатор на балансираща група за ниско напрежение за нуждите на РЗОК – Габрово“",РАЙОННА ЗДРАВНООСИГУРИТЕЛНА КАСА - ГАБРОВО,00207-2024-0127,Открита процедура,2025-01-13,2024-12-10,https://app.eop.bg/today/448614
351,„Доставка на лабораторни консумативи и реактиви за нуждите на ДКЦ «Свети Георги» ЕООД – Пловдив по 3 обособени позиции“,ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР СВЕТИ ГЕОРГИ ЕООД,00898-2024-0003,Открита процедура,2025-01-08,2024-12-10,https://app.eop.bg/today/448567
352,"„Техническо обслужване на автобус марка MAN PXC 414, с рег. № СО6474ВС, включващо oсновен, текущ ремонт и профилактика, доставка на резервни части и аксесоари за нуждите на ТП „ДЛС Искър” за срок от 24 месеца”","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ДЪРЖАВНО ЛОВНО СТОПАНСТВО ""ИСКЪР""",02724-2024-0125,Открита процедура,2025-01-13,2024-12-10,https://app.eop.bg/today/448459
353,"„Доставка на превързочни материали, лекарствени продукти (прахообразни и течни) и Norsulfazolum; Pioctanin 1%; Fuchsini 1%“за нуждите на СБАЛИПБ „Проф. Иван Киров” ЕАД”.","СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ИНФЕКЦИОЗНИ И ПАРАЗИТНИ БОЛЕСТИ  ""ПРОФ. ИВАН КИРОВ"" ЕАД",01162-2024-0014,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448423
